	Alv_Gen_Intermediate_Ctrl	Alv_Cap_Ctrl	Gen_Cap_Ctrl	Activated_Alv_Cap_Ctrl	Activated_Gen_Cap_Ctrl	Gen_Cap_LPS	Alv_Gen_Intermediate_LPS	Alv_Cap_LPS	Activated_Gen_Cap_LPS	Activated_Alv_Cap_LPS	Alv_Cap_Combo	Activated_Alv_Cap_Combo	Gen_Cap_Combo	Activated_Gen_Cap_Combo	Alv_Gen_Intermediate_Combo
ZER1	1.4262	1.8412	1.8878	0	0	1.2368	1.9357	1.4989	0.46642	1.527	2.0716	2.2122	2.1193	1.8109	1.5198
ZDHHC12	4.1426	4.5529	4.2253	4.6237	3.0257	4.5725	4.5951	5.4567	3.9896	4.6703	5.0843	4.9812	4.4969	4.3534	4.6328
PKN3	2.3836	2.9235	1.7658	2.2432	0	1.9945	2.3091	3.686	1.8765	3.1945	3.6312	2.8796	2.5229	2.4303	3.4945
ENSMMUG00000038373	8.0189	7.6328	7.8051	7.8614	8.0516	8.1276	8.2793	7.9883	7.9868	7.739	7.6243	7.993	7.7837	7.9872	7.8233
WDR34	3.6793	4.2344	4.2857	4.4701	3.0257	4.743	4.8982	4.9604	4.2721	4.2623	4.6247	4.881	4.8226	4.8057	4.7375
SPTAN1	9.4208	9.152	9.4598	9.3041	9.2142	9.0722	9.3337	9.1545	8.3479	8.8061	9.335	9.3924	9.3588	9.357	9.5159
GLE1	4.6464	4.7596	4.9072	4.5489	3.0257	4.6369	4.8982	4.8275	4.7727	4.3537	4.5717	4.7732	4.8116	4.6701	4.3321
ODF2	4.1934	4.0329	4.2253	3.7494	4.8863	4.4163	4.4535	4.5182	4.4838	4.5207	4.0585	3.9001	4.4969	4.6701	4.0767
CERCAM	2.4957	2.7404	2.3222	2.2432	0	1.9945	2.3091	1.4989	1.3373	2.0483	2.3486	2.0102	2.0458	1.1727	2.2433
SLC27A4	1.6365	1.4896	1.5852	0	0	0.62547	0.64627	0.93593	0	1.527	1.5645	1.4941	1.7544	0.70235	1.2634
TRUB2	4.8605	4.8721	5.0447	4.9485	4.8863	5.0688	5.1486	5.1204	4.7524	4.5974	5.0767	4.8661	5.1018	4.6701	5.0537
GOLGA2	6.4987	6.5081	6.3366	6.4412	6.1787	6.5178	6.5583	6.5567	6.3628	6.4314	6.7085	6.5908	6.5229	6.3223	6.6636
CIZ1	5.3895	5.3127	5.0962	4.8891	5.4549	5.1371	5.078	5.1578	4.6243	4.9298	5.2754	5.0487	5.079	4.9878	5.1326
C9orf16	3.1723	3.4002	2.8878	3.6093	3.9343	2.1788	2.3091	2.4765	1.8765	1.1728	2.0716	2.2122	2.5498	2.4303	2.2433
LCN2	1.4262	1.1126	1.0002	1.8031	0	7.8371	7.2415	8.2871	7.8503	8.286	8.2081	8.1749	7.8384	7.3691	7.0866
PTGES2	4.2584	3.864	4.2175	3.6093	5.1985	4.199	4.2109	3.7849	3.805	3.7597	3.7881	4.2144	3.9198	4.397	3.8148
SLC25A25	3.9977	3.3278	4.1541	3.8771	5.8617	6.2511	6.2722	5.5994	6.8566	6.2411	3.5891	4.6568	4.7892	5.1996	4.1544
NAIF1	2.9142	2.5938	2.6091	3.454	0	3.6319	3.2444	3.2045	3.2322	3.2901	2.8538	2.7557	2.9429	2.5891	3.2332
FAM102A	1.5352	0.92909	1.0002	1.8031	0	0.62547	0.64627	0	0	1.1728	0.9183	0.93242	1.3887	2.2518	0.55273
ENSMMUG00000040334	1.6365	1.1963	1.2018	0	0	1.394	1.7051	1.9028	0	1.527	1.1673	1.1449	1.5569	2.2518	1.7374
DPM2	6.0156	6.2363	5.6268	5.895	5.4549	5.6236	5.8739	5.8019	5.6616	5.5673	6.0279	6.0729	5.7572	5.8597	6.0006
ST6GALNAC4	4.8813	4.8003	4.6032	4.5489	4.8863	5.3632	4.7845	5.4567	5.883	5.3405	5.3211	5.3672	5.0322	5.6232	5.4111
ST6GALNAC6	3.8367	3.5187	3.1702	3.454	3.9343	4.5392	4.2964	4.8275	4.4337	4.8059	4.7349	4.6568	4.094	4.3534	4.3321
AK1	5.5475	5.3314	5.4532	5.3518	4.4874	6.6248	7.0332	6.7156	6.0912	6.2291	6.5199	6.6572	6.2701	6.2046	6.7907
ENG	4.3508	3.9019	4.9263	3.7494	5.8617	4.5725	4.8982	4.7316	4.4589	4.4807	4.9495	4.9248	5.1288	4.869	4.6597
FPGS	2.1971	2.1237	2.7444	2.2432	3.9343	2.9605	3.1557	3.2045	3.1724	2.7323	2.2441	2.4705	2.7482	2.0482	2.0936
SH2D3C	7.9541	7.8893	7.6099	7.8995	7.7974	8.0262	8.3156	8.3081	7.7993	7.8214	8.0621	8.0303	7.8553	7.726	8.2143
TOR2A	4.4092	4.1212	4.5426	4.1029	3.0257	4.3018	4.1662	3.8774	3.805	3.7597	3.9955	3.8096	4.3212	3.9471	3.7661
PTRH1	4.8072	4.7319	4.5549	4.5489	4.8863	5.1371	5.216	4.8275	5.0303	5.0163	4.5825	4.7245	4.6659	4.4394	4.549
STXBP1	8.2859	7.3856	8.6854	7.7982	7.9301	8.0705	7.8763	7.0986	8.3928	8.094	6.4482	6.5448	8.0382	7.9438	7.5669
FAM129B	2.5998	1.8923	2.7007	1.1666	0	1.6649	2.3091	0.93593	1.3373	1.527	1.475	1.7751	2.6274	1.5268	2.6172
GARNL3	3.7935	3.5823	4.2857	3.2801	4.4874	3.5673	3.6856	2.218	2.4803	2.4305	2.4925	2.4705	3.7681	3.1942	3.3698
LRSAM1	4.1766	4.6302	3.8483	3.7494	4.4874	3.9432	4.0231	4.0464	3.4989	4.0049	4.3378	3.7459	4.0756	4.1646	4.3321
ENSMMUG00000000422	9.286	9.0382	9.2253	8.9152	9.6713	9.6548	9.4337	9.3926	9.8006	9.3614	9.3668	9.0532	9.3165	9.4825	9.5122
ZNF79	2.1292	2.323	2.2633	2.8529	3.9343	2.0896	2.1344	1.9028	1.5402	2.0483	1.2773	2.3894	2.5761	2.5891	2.2433
SLC2A8	3.8787	4.153	3.9168	4.1029	3.0257	4.0176	3.9191	3.4652	3.805	3.825	3.7118	3.7781	4.1738	3.8873	3.9075
RALGPS1	2.8733	2.9954	3.1046	2.2432	0	2.7438	2.6055	2.218	2.3781	3.0921	2.7043	2.3036	2.9019	2.2518	2.723
ANGPTL2	2.4957	1.5545	2.8878	1.1666	0	4.8003	4.2109	3.5798	4.9789	2.8625	2.9566	3.1979	4.094	4.3534	4.0362
NGRN	4.8813	5.0344	4.5792	5.3951	3.9343	4.6051	4.7546	5.0426	4.5558	4.7054	4.8988	4.9673	4.5243	4.6341	4.9486
ZBTB34	5.0923	4.9525	4.7391	5.2134	3.9343	4.2616	4.5951	4.3345	4.3818	4.1134	4.55	4.5858	4.5577	4.8377	4.549
ZBTB43	5.0923	4.9404	5.1172	5.1642	5.1985	4.9723	4.9253	4.6811	5.0962	4.9298	4.864	4.6568	5.0973	4.7395	5.2611
FAM125B	5.2365	4.7458	5.1047	4.7625	5.1985	4.8143	4.978	4.5182	3.8439	4.2623	4.4941	4.3275	4.8606	4.5972	4.9266
PBX3	5.2525	5.2158	5.2558	4.8272	4.8863	5.3148	5.6157	4.6288	4.6018	4.5596	5.1795	4.6911	5.2276	4.8996	5.2958
MAPKAP1	5.6111	5.3769	5.3543	5.8334	5.6726	4.8419	4.8706	4.7316	4.6898	5.044	5.129	5.28	5.4181	5.3624	5.1891
GAPVD1	5.648	5.9503	5.7228	6.1691	6.3144	5.5503	5.3217	5.6263	5.5834	5.2242	5.9133	6.0794	5.9254	5.7797	5.6578
HSPA5	8.8274	8.7044	8.6474	8.5245	8.7941	8.7966	8.3559	8.5239	9.5989	9.1641	9.1002	9.4727	9.3951	9.8313	8.9687
RABEPK	3.5027	3.6873	3.3077	3.0822	3.0257	2.9605	3.4069	3.3407	3.11	3.6195	3.5236	3.3341	3.2678	3.3795	3.9075
ENSMMUG00000020549	6.163	5.9948	5.8976	5.769	6.0289	5.738	6.0192	5.8934	6.0668	5.8755	5.7173	5.7385	5.6183	6.0763	5.5031
SCAI	2.7878	2.4981	2.8483	2.8529	3.9343	2.5569	2.7336	3.054	1.8765	2.7323	3.0526	3.4182	2.9828	2.8623	2.9138
GOLGA1	4.5716	4.6746	4.7063	4.6237	3.9343	4.3216	4.3771	4.3984	3.7651	4.6343	4.8282	4.6394	4.8005	4.7395	5.0937
ARPC5L	5.2605	5.0457	5.1662	5.1642	6.5526	5.1701	5.2377	5.1942	5.8923	5.2242	5.2554	5.199	5.2847	5.5479	5.3464
RPL35	10.232	10.17	10.342	10.112	10.361	10.43	10.159	10.025	10.252	9.8746	10.022	9.7423	10.163	10.111	10.038
OLFML2A	7.1636	6.3931	7.1921	6.739	6.3144	6.2356	6.2722	5.9154	5.6616	5.1497	5.9594	5.8563	6.553	6.41	6.5459
NEK6	4.2899	4.0443	4.5487	4.2981	3.0257	3.7817	3.3279	4.3345	3.11	2.8625	3.5676	3.4182	3.6614	3.2899	3.8148
DENND1A	2.7878	2.7404	2.9821	2.2432	0	2.5569	2.3091	2.6957	2.5758	1.527	2.9232	2.3894	3.1324	3.0918	1.5198
STRBP	5.5539	5.3903	5.6091	5.261	4.4874	5.181	5.3619	5.2645	4.1839	4.1648	5.2688	4.9812	5.3997	4.5204	5.2786
RABGAP1	7.1465	7.3867	7.0739	7.2205	5.8617	6.9051	7.106	7.1735	6.6799	6.6899	7.0617	7.0784	7.1368	6.9012	7.0103
GPR21	3.631	4.5045	4.2857	3.9944	3.9343	3.6	3.4818	4.0464	3.805	4.0049	3.8428	4.0917	4.1211	4.2621	3.6635
ZBTB26	1.9038	1.8923	1.8482	1.1666	0	1.0603	0.64627	1.4989	1.3373	1.1728	1.3795	2.2122	2.0076	1.5268	1.9264
ZBTB6	3.0305	2.9235	3.0877	3.0822	3.0257	2.0896	2.3091	2.218	2.0191	2.0483	2.9566	3.0475	3.0024	2.9816	3.2332
RC3H2	4.8605	5.1172	5.1622	5.5178	4.8863	5.1592	5.3217	5.1942	5.2195	5.175	5.1363	5.5555	5.3812	5.0709	5.1133
PDCL	3.631	3.8382	3.561	3.8771	3.9343	3.1488	3.1557	1.4989	2.5758	2.4305	3.6312	3.8096	3.7216	3.6193	4.3651
MRRF	2.9142	2.5307	2.7444	2.2432	0	2.1788	1.4305	2.6957	2.0191	2.0483	3.0526	2.2122	2.602	2.0482	2.9138
RBM18	5.4534	5.1803	5.4857	5.3518	5.4549	5.5419	5.7879	5.4864	4.5082	4.5596	5.2214	5.1506	5.57	4.9296	5.8216
LHX6	4.8394	2.8987	5.5549	3.0822	3.9343	6.2966	6.2294	4.9174	4.3003	2.8625	5.0614	3.9291	6.4482	5.5671	6.1692
NDUFA8	7.0533	6.7865	6.8102	6.3778	6.936	7.0831	7.2734	7.1735	6.4282	6.5712	7.3036	6.9606	7.03	6.9678	7.5015
TTLL11	1.4262	1.3504	1.2632	2.2432	0	0.85923	1.7051	0.93593	2.0191	1.8111	1.3795	1.4941	1.7075	2.2518	1.2634
DAB2IP	2.324	2.7123	3.0707	1.1666	3.0257	2.8562	2.96	2.218	4.1533	3.1945	3.1714	2.8796	2.6769	3.1942	3.0005
STOM	5.1534	4.7107	5.1047	5.2134	4.4874	4.4163	4.2543	3.9644	4.0574	4.0602	4.7635	5.1258	4.8766	5.1996	4.8586
GSN	7.7473	7.3598	7.1317	7.7237	7.0952	4.8689	5.1714	5.572	2.6653	2.5893	4.3754	5.944	4.9789	5.1238	4.3321
ENSMMUG00000005595	7.9736	7.8357	7.7499	7.9799	7.7503	7.5185	7.8623	7.2706	7.354	6.9896	7.6437	7.6544	7.5039	7.5147	7.747
CNTRL	4.3948	4.4796	4.7658	4.2038	3.9343	4.6211	4.6611	4.5746	3.9896	3.4642	4.7541	4.5675	4.6032	4.8057	4.2636
C5	1.3082	2.9235	2.3788	2.2432	3.0257	1.394	0.64627	2.4765	1.3373	2.4305	3.333	2.3036	3.1145	2.4303	2.6172
TRAF1	2.9928	2.4981	2.9072	2.2432	0	3.6319	3.6856	3.7849	6.8801	6.493	1.475	2.3036	1.928	2.8623	1.9264
PHF19	1.0388	0.47245	0.76567	1.1666	0	0.85923	0	0.93593	1.3373	1.1728	1.7284	0	1.0559	0.70235	0.95138
PSMD5	3.6063	3.5667	3.6784	3.7494	3.0257	2.6219	2.4649	2.4765	3.11	2.5893	3.383	3.4585	3.2678	3.2899	3.0823
FBXW2	2.9928	2.8987	2.5112	2.58	0	1.8928	2.6055	2.218	2.4803	2.4305	2.7043	2.6201	2.963	2.4303	2.723
MEGF9	1.7312	1.7333	1.8076	1.1666	0	0.34637	1.091	0.93593	0.46642	0	1.7284	1.6414	1.3887	0	1.2634
CDK5RAP2	5.2996	5.3174	5.2968	5.5941	5.1985	4.772	4.7845	5.4264	4.9962	5.2951	5.3147	4.9103	5.3624	5.1747	5.2611
ENSMMUG00000031992	1.4262	1.4217	1.0002	0	3.0257	0.85923	1.7051	1.9028	1.3373	0.70244	0.7756	1.4941	0.72018	1.1727	1.2634
TRIM32	3.5293	3.8119	3.5972	4.1029	3.0257	3.8099	3.4069	4.124	3.3449	2.8625	3.672	2.7557	3.8241	4.1646	4.0362
TNC	1.3082	1.7333	1.5852	0	0	2.4888	1.7051	2.218	0.81833	1.527	3.1132	2.819	2.7482	2.0482	2.2433
ENSMMUG00000041316	1.1798	1.1126	1.0002	2.2432	0	1.6649	1.4305	1.4989	0	0.70244	1.5645	0.68316	1.1983	0.70235	0.95138
ATP6V1G1.1	0.7073	1.9416	1.0706	2.58	0	1.394	0.64627	0.93593	1.3373	1.8111	1.6488	1.8974	1.3887	1.1727	1.2634
AKNA	4.4376	4.153	4.7973	3.7494	4.4874	5.2024	5.401	4.5746	4.1839	3.6195	3.9464	4.1907	4.9338	4.7052	4.8352
ZNF618	3.3319	3.0185	2.7658	2.2432	0	3.1923	3.6209	3.8774	2.7496	3.8875	3.672	4.142	3.4355	3.6193	3.4335
RGS3	6.919	6.2778	6.7947	6.3778	8.0899	8.1065	7.9307	7.6311	8.3067	7.9068	6.5199	6.3335	7.2648	7.2253	7.0717
POLE3	5.3822	5.2554	5.0447	5.5941	5.1985	5.1592	5.3816	5.0426	5.2916	4.988	5.2487	5.3566	5.2025	5.4269	5.4882
ALAD	2.0579	2.4981	2.8281	2.8529	3.0257	2.6219	2.4649	2.6957	1.7181	0.70244	2.5809	1.8974	2.7711	2.4303	2.503
HDHD3	1.8201	1.3504	1.8878	1.1666	3.0257	1.0603	1.4305	0	0.46642	1.1728	0.9183	1.7751	1.7075	0.70235	1.7374
PRPF4	4.0167	3.8382	3.973	3.7494	3.9343	3.8647	3.6856	3.4652	3.724	3.5439	3.3582	3.6447	4.0756	3.6193	4.3321
CDC26	6.2812	5.9321	5.912	6.1938	7.3053	6.3976	6.3642	6.3782	7.2348	6.9015	6.0357	6.1732	6.0148	6.4206	6.251
FKBP15	4.6219	4.2831	4.6091	4.2038	5.4549	4.772	4.0724	4.4595	5.0636	5.3626	4.1481	4.2834	4.8116	4.6341	4.3651
SLC31A2	2.5998	2.9479	2.4597	2.58	0	2.8562	2.4649	3.2045	2.4803	1.8111	2.3982	2.3036	2.2882	1.5268	2.6172
ZFP37	4.2263	4.01	3.8583	3.8771	3.9343	3.753	3.972	3.4652	3.9186	4.3537	3.4314	3.7459	3.9603	4.3534	3.4945
SNX30	2.3836	2.2465	2.0706	3.454	3.9343	1.6649	1.9357	1.4989	0.81833	1.1728	2.5374	2.4705	2.838	1.8109	2.9138
C9orf80	3.7029	3.8251	4.0707	3.6093	3.0257	3.0577	2.3091	3.054	2.5758	2.0483	3.8606	3.9575	3.8991	4.0046	3.9075
KIAA1958	2.4407	2.0803	2.4063	1.1666	0	1.2368	1.7051	1.4989	0.81833	1.527	2.1314	2.4705	2.3505	1.8109	1.9264
HSDL2	5.5475	5.3033	5.7418	5.3951	5.6726	6.0172	6.1046	5.1942	4.8701	5.0711	5.1866	5.3566	5.4144	4.869	5.0126
PTBP3	5.6957	5.7116	5.2633	6.0656	6.0289	5.1147	5.078	5.8019	5.7866	5.86	5.6576	5.8563	5.3395	5.7294	5.3297
SUSD1	2.324	2.7123	2.5363	2.8529	3.0257	1.394	1.7051	0	1.101	0.70244	2.1889	1.1449	2.3505	2.0482	2.2433
UGCG	4.9519	5.1491	4.9822	5.0055	6.3144	6.6129	6.3935	7.1272	8.298	8.0052	5.0224	6.1114	5.1683	6.6452	5.0937
DNAJC25	7.5241	7.5428	7.1429	7.6361	7.7503	8.1122	8.0858	8.0242	9.1828	8.844	7.4908	8.2151	7.4674	8.6725	7.6124
ENSMMUG00000031944	5.2919	5.7467	4.0962	5.5564	4.8863	3.1923	4.2543	5.1942	3.3981	4.3087	5.3654	5.0487	3.6737	3.0918	4.9266
ENSMMUG00000012749	4.5843	4.7596	3.4857	4.6237	3.0257	2.9093	3.4818	4.2677	2.7496	3.8875	4.6351	4.4121	2.5498	2.9816	4.1544
KIAA0368	6.2172	6.2013	6.2764	6.739	6.5526	6.2613	6.1964	6.8125	6.8518	7.2316	6.4744	6.9987	6.5777	6.7413	6.4179
SVEP1	1.4262	1.1126	1.4332	0	0	0.62547	1.4305	0.93593	0.81833	0.70244	2.2441	1.1449	1.5569	1.1727	1.2634
ENSMMUG00000010322	6.9925	7.18	6.7269	6.9856	6.757	7.0889	6.7748	7.3043	7.5132	7.3528	7.1565	7.0157	6.8407	7.0656	6.9075
ENSMMUG00000002361	5.9333	6.1126	6.2596	6.0656	6.6584	6.3929	5.9549	6.156	7.3674	7.3417	6.3127	6.7454	6.5007	7.1445	6.2061
ENSMMUG00000044392	4.5195	4.3758	4.4466	5.0603	5.4549	4.6985	4.4535	4.1977	3.7651	4.5207	4.363	4.6039	4.4691	4.6341	4.6597
CTNNAL1	8.8394	8.3196	9.0431	8.3702	8.8622	8.0096	7.8376	8.3081	8.6907	8.309	8.0878	8.0386	8.3836	8.3865	8.2764
FAM206A	1.0388	1.8923	1.1377	0	0	0.62547	1.4305	0.93593	0.81833	2.0483	1.7284	2.1147	1.5569	1.8109	1.9264
ELP1	4.4092	4.4373	4.3004	4.3867	4.4874	3.9175	4.1662	4.2677	3.4494	3.8875	3.7504	4.0658	4.2078	3.8873	3.8619
ENSMMUG00000047317	0.7073	1.1126	0.58507	1.1666	0	1.8928	0.64627	0.93593	0	1.527	1.475	1.7751	0.72018	0.70235	1.5198
KLF4	9.324	9.356	8.0999	9.3013	9.1611	8.541	9.5911	9.6471	8.0567	8.6549	9.7881	8.9953	7.737	8.0294	9.4267
RAD23B	7.5389	7.6616	7.2463	7.6271	7.43	7.1286	7.2944	7.5838	7.4004	7.5684	7.4764	7.544	7.0277	7.3076	7.2636
ZNF462	5.7132	4.994	6.3023	5.261	6.3144	5.6393	5.599	4.7316	4.4589	4.3537	4.6958	4.9103	6.2374	5.9356	5.1891
TMEM38B	1.5352	1.8412	1.5852	3.0822	3.0257	1.394	1.4305	1.4989	2.149	2.0483	2.2973	2.2122	1.6088	1.8109	1.5198
ENSMMUG00000043185	0.7073	0.60085	1.1377	0	0	0.85923	0.64627	0.93593	0.81833	1.8111	1.3795	0.93242	1.328	0.70235	0.55273
ENSMMUG00000002669	4.4235	4.4796	4.8332	4.2981	4.8863	3.6937	3.8642	2.6957	3.2896	2.9818	3.5458	3.7459	3.7216	3.7595	3.6635
FSD1L	2.262	2.7681	2.4597	2.58	0	1.5358	2.7336	1.4989	0.46642	2.252	2.9232	2.7557	2.5229	1.5268	2.503
SLC44A1	6.2049	6.0464	6.3366	5.9249	4.8863	6.2613	6.2722	6.0995	5.7045	5.4889	6.5366	5.8787	6.5777	5.9936	6.7093
ABCA1	5.5409	5.7151	5.3995	5.2134	3.9343	6.3836	6.7896	6.6116	6.7633	6.6634	6.5171	6.2726	6.159	6.3994	6.3452
NIPSNAP3B	2.743	3.1292	3.2482	2.58	0	2.6842	1.9357	3.2045	1.7181	1.8111	2.2441	1.6414	2.2559	2.2518	1.9264
NIPSNAP3A	5.0561	5.1803	4.8383	5.5178	0	4.2616	4.978	4.9604	4.5082	4.3087	5.0537	4.9532	4.8281	4.2141	4.6054
SMC2	4.9018	4.7733	4.684	5.2134	4.8863	4.0883	4.2109	4.6288	3.9186	4.3537	4.8988	4.3704	4.4263	3.5437	5.1891
RNF20	5.8248	5.5697	5.6924	6.0922	4.8863	5.126	4.8982	5.0426	4.8888	4.988	5.4559	5.4089	5.7686	5.5861	5.6711
TMEM246	3.5554	3.7159	3.7869	2.2432	3.9343	3.3154	3.4069	2.6957	2.4803	2.8625	3.5011	2.9377	3.8459	3.6193	3.6635
ZNF189	3.9394	3.7159	4.3508	3.8771	5.1985	4.4525	4.5951	4.2677	5.08	4.5207	4.2188	4.3491	4.5904	4.773	4.46
CAVIN4	1.1798	1.2754	0.76567	2.2432	0	1.2368	1.091	0.93593	1.3373	0	1.2773	0.93242	1.1289	0.70235	1.2634
MSANTD3-TMEFF1	2.1292	2.1658	1.7227	2.2432	0	1.5358	0.64627	1.4989	0	0.70244	1.6488	1.6414	1.8438	1.8109	2.0936
TEX10	4.7963	4.4024	4.8281	4.6237	3.9343	4.6051	4.4902	3.686	4.328	3.825	4.1625	4.2378	4.7082	4.5972	4.46
INVS	3.3319	3.6131	3.5853	3.8771	3.0257	3.104	3.0612	3.054	2.8292	3.0921	3.6103	3.4977	3.6858	1.8109	3.8148
ERP44	6.8362	6.805	6.8256	6.722	5.8617	6.8821	7.0394	6.9679	7.0927	6.9608	6.9268	6.907	6.7697	7.0245	7.0515
STX17	6.5741	6.5325	6.5395	6.7049	6.6584	6.8451	6.8332	7.0986	6.6745	7.1124	6.6687	7.1753	6.7055	6.7328	6.6964
NR4A3	3.5293	3.0859	2.2633	4.3867	0	4.4163	4.2109	4.0464	4.2139	3.1945	2.7431	2.0102	2.1193	2.7321	2.379
SEC61B	7.5904	7.5675	7.268	7.6806	7.43	7.527	7.493	7.236	7.8383	7.6291	7.5007	7.3272	7.2617	7.5634	7.4524
ALG2	4.818	4.9343	4.8483	5.478	3.9343	4.9086	4.8982	4.3345	4.408	4.3087	4.864	4.881	4.9287	4.8057	4.9915
TGFBR1	2.4957	2.7681	3.2482	2.8529	0	3.2345	3.2444	3.686	3.8439	4.0602	3.0526	3.3768	3.0781	2.9816	2.723
COL15A1	2.8733	1.5545	4.6326	1.1666	3.9343	2.4888	0	0.93593	3.0447	1.527	0.43931	0.38164	4.0848	3.3795	2.379
GALNT12	1.5352	1.9416	2.2329	1.8031	0	2.2627	2.6055	2.218	2.149	3.0921	2.6643	2.3894	2.5761	2.7321	2.2433
ANKS6	2.1971	2.4981	2.3788	1.8031	3.9343	2.1788	2.3091	2.8859	1.7181	1.8111	2.3982	2.4705	2.838	3.1942	2.0936
TBC1D2	2.5998	2.2067	2.2019	2.2432	0	2.5569	2.7336	1.9028	2.6653	3.1945	2.781	2.6201	2.5498	2.4303	1.9264
CORO2A	1.5352	1.4217	1.4856	1.1666	0	1.8928	2.3091	2.4765	1.5402	2.4305	1.475	2.4705	1.7544	1.8109	0.95138
TRIM14	1.0388	1.4217	1.8076	1.1666	0	0.85923	1.091	1.4989	0.46642	1.8111	1.7284	2.3036	2.0458	1.8109	1.7374
NANS	4.4791	4.1841	4.0182	4.4701	4.8863	4.3602	3.9191	5.1204	5.8162	5.3845	4.7823	4.8358	4.8553	5.3177	4.6054
ENSMMUG00000012242	7.9003	7.5547	7.6471	7.4329	7.9717	7.917	7.9374	7.4395	7.5371	7.2963	7.7224	7.6522	7.715	7.8489	7.8701
HEMGN	0.7073	1.4217	1.4856	0	0	1.394	1.9357	0	1.101	1.527	1.7284	1.1449	0.8117	0.70235	0
TRMO	3.4198	3.4002	3.4198	2.58	3.9343	2.9605	3.0612	2.8859	3.5932	3.6913	3.1426	3.5359	3.2351	2.9816	2.8215
XPA	5.0191	4.9764	5.0227	4.6947	4.8863	5.0688	5.1486	4.9604	4.2721	4.3537	4.8727	4.3491	4.8499	4.773	4.6861
NCBP1	5.0284	4.807	5.1901	4.6237	3.9343	4.9472	4.9253	4.9174	4.8125	4.5974	4.8192	5.0355	5.0082	5.4684	5.1705
TSTD2	4.0353	3.7986	4.0447	3.8771	3.0257	4.1558	3.4069	3.054	3.8817	4.1134	3.383	3.2447	3.8991	4.2621	3.5531
TMOD1	1.8201	2.0355	2.9451	2.58	0	1.7833	1.091	0.93593	2.7496	2.8625	1.8039	2.2122	2.2882	2.5891	2.0936
TDRD7	4.8916	4.7936	5.0271	5.3071	5.4549	5.344	5.3217	5.8934	5.9734	6.3996	5.0691	5.9582	5.2767	5.7631	5.4111
IARS	5.5604	5.489	5.6699	5.4371	5.4549	5.2443	5.2377	5.1204	5.3999	5.2482	5.1581	5.6368	5.4362	5.6949	5.3129
NOL8	5.9919	5.9412	6.0447	6.1691	4.4874	5.8234	5.6157	5.7292	5.7965	5.8285	5.9047	6.1972	6.0481	6.2046	6.0111
OGN	1.8201	2.6836	2.5363	2.58	0	0.85923	1.091	0.93593	1.3373	0.70244	2.5809	0.93242	2.4103	1.1727	1.5198
IPPK	3.2056	3.271	3.1541	3.454	3.0257	4.0176	3.4818	3.2045	3.5932	3.6195	3.1132	3.4585	3.2185	2.7321	3.0005
BICD2	6.2172	6.0716	5.9822	5.9828	6.0289	6.053	6.3035	5.8483	5.0471	4.988	5.5845	5.628	5.9608	6.0629	5.8914
FGD3	2.3836	2.9954	2.7007	1.8031	3.0257	1.7833	1.7051	2.6957	1.101	1.1728	2.4461	2.5472	2.223	1.1727	0.95138
CARD19	2.5998	2.3598	1.8076	2.58	3.0257	2.4173	1.9357	3.054	1.101	2.5893	2.7043	3.3768	2.602	2.4303	2.503
NINJ1	6.1243	6.5993	5.4696	6.898	5.1985	5.9041	6.584	6.936	6.4661	7.0726	7.2182	7.422	6.1237	6.5028	6.9353
FAM120AOS	2.262	2.8987	2.4857	3.0822	3.0257	1.8928	2.1344	0	1.8765	2.252	2.1889	2.6895	1.8865	2.2518	2.2433
FAM120A	7.5471	7.4	7.5717	7.4637	7.6512	7.5668	7.7831	7.5769	7.3268	7.2436	7.4851	7.6171	7.6713	7.8251	7.5705
PHF2	6.2694	6.3775	5.9845	6.3561	5.4549	5.7814	5.7879	5.6527	5.4258	5.6235	5.8524	5.7466	5.928	5.9057	5.925
PTPDC1	4.6942	4.5687	4.5487	4.5489	0	4.556	3.4818	3.5798	3.724	3.0921	3.9464	4.3056	4.3896	3.9471	3.9075
ZNF169	3.2056	3.0413	3.4597	3.454	0	2.6219	2.8512	2.8859	2.5758	2.4305	2.781	2.9377	3.1674	2.5891	3.0823
MFSD14B	5.672	5.7878	5.6756	5.5941	5.8617	5.1917	5.7581	5.3314	5.6174	5.8755	5.282	5.6012	5.5029	5.7294	5.4111
ENSMMUG00000045451	1.6365	1.8923	2.0359	2.2432	0	1.6649	2.3091	0.93593	1.8765	1.8111	1.944	1.6414	2.0076	0.70235	1.5198
ZNF484	3.9394	3.8768	3.7445	3.454	0	2.9605	2.8512	3.3407	3.11	3.2901	3.5891	3.3768	3.802	4.1646	2.8215
ZNF658	3.2056	3.2902	3.878	3.454	3.0257	2.3421	1.9357	2.4765	2.0191	2.7323	3.0213	3.3341	3.421	2.9816	2.6172
ALDH1B1	2.5998	1.9416	2.2633	2.58	0	1.394	1.091	0	1.5402	1.527	1.3795	1.4941	2.083	2.0482	2.2433
ENSMMUG00000008670	3.3319	2.1237	4.0621	1.8031	4.4874	5.2024	4.3373	3.2045	6.8801	5.4271	2.3486	2.4705	4.1211	5.0709	3.3031
SLC25A51	2.7878	2.6244	2.561	1.8031	0	1.2368	2.1344	0.93593	1.3373	1.1728	2.7431	2.2122	2.083	3.0918	2.6172
