	AT1_Progenitor_Ctrl	Differentiating_AT2_Ctrl	AT2_Progenitor_Ctrl	AT1_AT2_Ctrl	AT1_Ctrl	Differentiating_AT1_Ctrl	AT2_Ctrl	Differentiating_AT1_LPS	AT2_LPS	Differentiating_AT2_LPS	AT1_LPS	AT2_Progenitor_LPS	AT1_AT2_LPS	AT1_Progenitor_LPS	AT2_Combo	AT1_Combo	Differentiating_AT1_Combo	AT1_Progenitor_Combo	Differentiating_AT2_Combo	AT1_AT2_Combo	AT2_Progenitor_Combo
SNAPC3	3.8644	4.2016	3.9237	4.0807	4.3425	4.1221	3.8317	3.6785	3.2532	3.778	3.3464	2.69	3.2136	3.897	3.6633	4.2436	3.955	3.0313	3.4051	4.2169	3.5682
TTC39B	3.2445	3.1424	2.6375	2.3685	1.9568	1.9312	2.9296	3.8847	3.586	4.7672	2.9945	3.5736	3.258	3.3597	3.1868	2.0774	3.0185	2.7183	4.0034	2.6433	3.3465
ZDHHC21	0	1.4541	0	1.7863	1.4717	1.637	1.0726	0.7275	0.16825	0	0.79382	0.74987	0.90396	0	1.3804	0.69012	1.7732	1.762	1.8451	1.2565	0.78585
NFIB	7.1296	6.6338	6.1219	6.2837	6.3561	6.1987	6.184	5.7926	5.5851	5.7405	5.6483	5.1604	5.8987	6.0412	5.7406	6.2361	6.0375	6.0175	6.1179	5.8873	5.7381
MPDZ	3.8644	3.9809	3.6078	3.2954	3.7694	4.2342	2.508	2.787	1.3128	2.3145	2.9266	1.8978	2.1176	2.4938	2.0103	2.8955	3.4158	2.5319	3.0001	2.4119	2.1307
LURAP1L	5.5478	3.516	4.5927	5.275	5.5237	4.4964	4.7508	2.787	3.7002	3.0275	4.547	3.8023	3.915	3.897	3.7326	5.432	4.292	4.9679	3.7209	4.8777	4.2188
ENSMMUG00000016632	3.6858	1.4541	1.9944	3.1032	2.3192	2.2484	3.1247	1.8572	3.4292	2.3145	3.3975	2.69	3.2798	2.4938	3.3343	3.0899	2.5819	2.8832	2.1278	3.1239	3.3465
ENSMMUG00000002920	5.5992	4.8499	5.4439	5.3288	5.4742	5.5388	5.4511	3.7506	4.9337	3.6919	4.7767	4.5117	4.9702	5.4159	5.4777	5.4625	4.3679	5.7869	4.3537	5.3013	5.3169
PTPRD	3.2445	0.90301	1.3174	0.57519	1.872	1.2671	0.86976	1.8572	0.45531	0.8439	0.45083	0	0.1956	0	0.53146	0.82112	1.6396	2.318	1.4931	0.20708	0.78585
ENSMMUG00000019570	0	0.90301	0.80414	1.1536	1.0762	0.30389	1.0726	0	1.7442	0	1.5029	1.6064	1.7326	0	1.2781	1.0521	0.812	1.3755	1.0265	1.4318	0.78585
DMAC1	6.9434	5.2634	6.2826	6.6816	6.9128	5.7546	6.3878	5.1863	6.6871	5.2313	6.7267	6.9185	6.6876	6.7489	6.5682	6.6948	5.5008	6.3491	5.575	6.7294	6.6152
KDM4C	4.0232	4.5077	3.851	3.4326	3.5412	4.0827	3.7153	4.4147	3.8188	5.1367	4.246	4.3281	3.8869	3.897	3.931	3.7629	4.2808	3.6043	5.318	3.6876	4.0398
UHRF2	5.194	5.7797	5.3677	5.4306	4.9714	5.6028	5.2671	5.7926	5.2332	5.9026	5.4925	5.8302	5.2155	4.5947	5.0781	5.0533	5.7027	5.1079	5.8971	5.3513	5.1986
IL33	4.1663	2.4195	3.0808	2.0649	2.185	2.6764	3.8317	2.4829	6.8336	4.6804	3.6711	5.1043	5.3293	6.1393	6.5144	3.2841	2.7854	4.6391	4.7921	4.7758	4.8817
ENSMMUG00000041439	2.9602	1.4541	1.6952	2.0649	2.3819	2.4476	2.9296	1.8572	2.0759	2.5284	1.9762	1.8978	1.5299	0	2.6035	2.3619	2.3873	2.7183	3.0461	2.1859	2.5428
KIAA2026	5.3817	6.5954	6.4146	6.1002	6.1464	6.3306	5.7313	6.5463	5.8274	6.6829	6.0508	6.1677	5.9673	5.4159	5.8516	6.2565	6.7366	6.0351	6.8465	6.2598	6.2168
ERMP1	3.2445	0.90301	1.6952	2.2984	3.4852	3.2743	1.9099	1.5692	0.31891	0	1.3029	0	1.0118	0	1.2781	2.2267	2.2565	1.3755	1.9456	1.7291	1.2917
RIC1	3.6858	3.8991	3.851	4.4953	4.1932	4.252	3.9131	4.5821	3.4125	4.2692	4.2178	3.8023	3.69	0	3.2148	3.9173	4.2695	3.0313	4.3537	3.6348	3.6811
CD274	0	0	0	0	0	0	0	2.0972	0.89983	2.3145	1.9762	1.2408	1.5299	0	1.1097	1.155	0.812	2.0666	0.83011	1.3468	0.78585
PLGRKT	6.4225	4.3929	5.7542	6.0898	6.3483	5.2408	5.9205	4.8678	6.636	5.1037	6.4882	6.1401	6.5646	7.2215	6.545	6.4712	5.3162	6.2916	5.2991	6.385	6.0215
JAK2	2.1346	2.8257	3.7744	2.6191	2.6601	3.0061	2.2813	3.2517	3.0527	4.635	2.9266	3.1984	2.968	0	2.3498	2.7714	3.2652	3.1655	3.474	2.5702	2.9101
ENSMMUG00000041751	1.4306	0.90301	1.3174	0.31607	0.91593	1.1193	0.35139	0.7275	0.57992	1.759	0	0.74987	0.90396	0	0.43969	0.38594	0.53942	0	1.4931	0.69367	0.31193
AK3	4.4159	2.6369	2.8009	3.2589	3.9037	2.7786	3.2131	1.8572	1.9886	0	2.7802	2.69	2.3815	0	2.8727	2.9249	2.4283	3.2883	2.5671	2.8114	2.6014
CDC37L1	5.0538	4.2682	4.9814	5.1512	5.1887	4.5551	5.2037	4.542	5.8647	4.5396	5.7502	5.3166	5.6503	6.0412	5.6742	5.5642	4.7053	5.4079	5.0954	5.3836	5.2268
SPATA6L	0	0.90301	0	0.79477	0.52947	1.1193	0.35139	1.2088	0.69462	2.0634	0	0.74987	0.78743	0	0.69915	1.155	1.2389	0.84579	1.4931	0.94567	0.56826
SLC1A1	2.9602	0.90301	1.3174	0.79477	2.3192	2.3179	1.5512	0.7275	0.69462	0	0.45083	0.74987	0.78743	0	1.1681	2.2732	2.8166	2.0666	1.4931	1.5881	1.5514
RFX3	2.9602	3.8124	1.9944	2.0649	1.7819	2.3179	1.9099	3.038	1.7442	2.7146	2.332	0.74987	1.6006	0	1.7677	2.7386	2.3873	1.762	3.2167	1.8575	1.6655
PUM3	5.1256	5.1618	5.6931	5.0158	4.7397	5.2318	4.8915	6.3044	5.9364	6.2726	5.8453	5.9779	6.0359	6.1393	5.8269	5.3091	5.5435	5.4348	6.2218	5.4915	5.6298
VLDLR	3.482	5.3885	4.7609	4.3981	3.2021	3.6958	5.044	3.6785	3.9745	3.9362	3.4946	4.1176	4.0348	0	4.0287	3.7791	3.6247	3.9402	4.2196	4.2169	3.7603
SMARCA2	6.2724	5.8897	5.4189	5.5931	5.2821	5.6304	5.9336	4.835	4.6075	4.4374	4.8881	4.1732	4.5902	5.063	5.1523	5.401	5.52	5.4611	5.3822	5.1527	4.9396
KANK1	2.1346	2.1635	1.9944	1.4407	1.6857	1.5239	1.4086	2.3029	1.0794	2.0634	0.45083	0.74987	0.36782	2.4938	1.0489	1.3412	1.8954	0.84579	1.737	1.1601	1.6655
DOCK8	3.2445	5.9107	4.9116	4.6721	3.0559	4.1978	5.7086	3.2517	4.7403	4.8491	3.3975	4.2783	4.1806	2.4938	6.0815	4.3559	4.4796	4.4415	5.7658	5.1338	5.1602
ENSMMUG00000013807	0	0.90301	2.242	0.57519	0.28889	0.76842	0.35139	0	0.57992	0.8439	0	0.74987	0.1956	0	1.0489	1.0521	0.53942	0	1.3537	0	0.78585
ENSMMUG00000016193	4.2965	3.9809	3.5167	4.2388	4.4489	4.4507	3.9131	4.2751	4.4933	4.0093	4.501	4.0598	4.3748	4.5947	4.3952	4.2782	4.0236	4.4935	4.4595	4.3539	4.0185
FAM122A	2.9602	3.8991	3.3152	2.8326	2.7579	2.5083	3.5553	1.8572	2.8449	2.7146	2.6172	3.3982	2.8567	3.897	3.7422	3.0637	3.4361	3.0313	4.0493	3.6876	3.8354
PIP5K1B	3.6858	3.6217	4.2408	4.4636	4.4043	3.9134	4.2632	3.038	3.0311	2.3145	3.3464	2.1402	3.096	0	4.1202	4.6571	4.1395	3.6959	3.4051	4.0522	3.3465
FXN	4.1663	2.9927	3.0808	4.0597	3.9664	3.6152	3.8034	1.8572	3.494	2.3145	3.7121	2.8349	3.6737	5.063	3.3966	3.0098	2.4683	2.7183	3.0461	3.3806	3.4134
TJP2	6.6587	6.1415	6.3369	6.7845	7.2286	7.1029	5.9073	5.4686	4.7403	4.1451	6.0746	4.5542	5.287	5.063	5.0396	6.5488	6.6328	5.7869	5.3086	5.8948	5.2268
FAM189A2	5.5992	6.0872	5.774	6.7156	7.0078	7.27	5.1929	5.5516	2.715	3.1617	4.9579	2.8349	3.8438	4.2876	3.9055	6.0975	6.5209	4.9307	4.4931	5.1898	4.1615
PTAR1	1.4306	1.4541	1.6952	1.1536	0.52947	1.1193	1.0726	1.2088	1.2392	1.3728	1.0707	1.2408	0.52165	0	0.77621	0.9412	1.3284	0	2.0396	1.0569	1.142
C9orf135	2.1346	0.90301	1.3174	1.1536	1.0762	0.95448	1.5512	0.7275	0.69462	0.8439	1.0707	0.74987	0.90396	0	0.77621	0.69012	1.4924	0.84579	0.60269	1.0569	0.56826
SMC5	5.4392	6.2278	5.8691	5.4224	5.4155	6.1084	5.2774	6.4304	5.3689	6.811	5.3699	5.7038	5.4152	4.5947	5.6666	5.2922	6.3335	5.3243	6.499	5.4462	5.7511
TRPM3	3.6858	4.7131	3.6935	4.3118	4.9612	5.1767	3.2554	4.4147	1.4498	2.3145	2.9266	1.8978	2.4212	0	2.7822	3.7951	4.9855	3.2883	3.2564	3.3372	3.0845
TMEM2	4.4159	6.2444	5.7542	5.6364	5.6309	6.0687	5.3765	6.4304	5.2844	6.0826	5.7794	5.7226	5.6586	4.2876	5.2868	6.1545	6.6459	4.7286	6.1339	5.7574	5.9501
FAM108B1	0	1.852	0.80414	0.31607	1.0762	0.55477	1.2503	0.7275	0.45531	0.8439	0.45083	1.2408	0.36782	0	0.77621	1.3412	1.0412	0.84579	0.33259	0.82516	1.142
C9orf85	4.2965	3.2779	4.8001	4.2009	3.8822	4.1025	4.0871	3.9474	4.1046	4.2692	3.8284	4.468	4.0348	4.2876	3.8352	4.0831	3.8829	3.4015	4.0493	4.2288	3.8596
ENSMMUG00000044793	5.1256	4.2016	4.9814	5.0903	5.1887	4.8055	4.5949	4.3697	4.1556	2.8795	4.6974	3.9368	4.4342	4.2876	4.7602	5.3957	4.628	5.2355	4.3898	4.9151	5.1106
ALDH1A1	5.1256	3.8124	2.9477	1.6801	2.0369	3.1272	2.508	1.8572	1.3829	3.3976	2.2229	2.8349	0.78743	3.3597	2.3244	1.9109	3.1471	4.7286	3.295	1.6603	2.4181
ANXA1	9.7802	7.6138	8.8474	9.7391	10.126	9.0063	8.9915	8.5167	8.7625	7.4188	9.8806	8.9054	9.3788	9.2255	8.7551	10.145	8.7839	9.3895	7.468	9.6395	8.7752
RORB	0	2.8257	0	1.1536	0.28889	0.76842	0.86976	0	0.99243	1.3728	0.45083	1.6064	0.66065	0	1.1681	1.654	0.93114	0	1.6202	0.82516	0.78585
TRPM6	0	2.1635	1.6952	0.31607	0	0.55477	0.63373	2.787	3.478	4.3835	2.9266	3.8711	2.6718	0	2.4473	1.155	1.2389	0.84579	3.5398	1.6603	2.2081
C9orf40	2.1346	1.4541	2.8009	2.4353	1.9568	1.637	2.3609	1.8572	2.5723	0.8439	2.6172	2.8349	2.2556	3.3597	2.7251	2.4043	1.4924	2.5319	2.6289	2.6433	2.2081
CARNMT1	2.1346	2.4195	2.9477	2.7298	2.4997	2.1754	2.9296	1.5692	2.4794	2.8795	2.1048	2.9665	2.4212	0	2.7634	2.8034	2.8166	3.0313	2.6289	2.9619	2.764
NMRK1	2.1346	2.4195	1.9944	2.147	2.185	2.0985	2.2813	2.0972	1.8958	1.3728	1.9762	1.8978	2.4212	3.3597	1.9451	2.3182	2.8772	1.3755	2.5671	2.2806	2.5428
OSTF1	3.482	2.4195	2.9477	2.9742	2.8044	2.6764	2.9296	2.787	2.8199	2.5284	2.332	2.1402	2.7977	0	2.9413	3.2143	3.1223	3.6043	2.0396	3.1741	3.125
PCSK5	4.1663	5.2303	3.993	3.9496	3.0169	3.6958	4.7058	3.8192	3.586	3.6003	4.0036	3.4886	4.0974	2.4938	3.9888	3.9606	3.9266	3.2883	4.2978	3.9974	4.0398
ENSMMUG00000046548	3.2445	2.9927	2.242	3.1437	2.9768	2.827	2.6415	3.2517	3.7673	2.7146	3.7907	2.5289	4.0974	3.3597	3.1583	3.1658	1.9529	3.4015	2.5026	3.1741	3.0845
VPS13A	5.7431	5.8024	5.2873	5.4058	5.6754	6.3432	5.386	5.2121	4.224	5.0354	4.3535	3.654	4.2483	3.897	4.7266	5.2522	6.1119	4.5437	5.6137	4.9587	4.6517
ENSMMUG00000021916	3.6858	3.1424	3.2028	2.8326	2.442	2.7786	2.8212	2.3029	2.6876	2.3145	2.7802	2.9665	2.6045	2.4938	2.8191	2.8347	2.7207	2.0666	2.6881	2.5702	2.4181
ENSMMUG00000039415	1.4306	0	1.3174	1.6801	1.7819	0.95448	0.35139	0	1.0794	2.3145	1.835	2.3476	1.294	0	1.4289	1.654	1.0412	1.762	1.3537	1.5881	1.4274
CEP78	2.1346	2.6369	2.242	1.8853	2.6601	2.4476	2.3609	2.4829	1.69	2.5284	1.0707	2.1402	2.165	2.4938	1.7295	0.82112	1.4924	1.762	2.5026	2.0845	0.31193
TLE4	5.994	6.6589	6.2687	5.2474	4.8098	5.1484	5.5731	5.5516	4.6789	6.1807	4.8335	5.6063	5.0356	5.4159	5.1157	4.9281	5.5152	5.9259	6.4782	5.22	5.9835
TLE1	4.5262	4.5619	3.7744	3.9266	3.7458	3.3756	3.9903	3.1488	2.4794	2.5284	3.629	2.5289	2.4973	3.897	3.0996	3.7465	3.3743	3.5064	3.4399	3.5985	2.8631
ENSMMUG00000005988	1.4306	1.4541	1.3174	1.3043	1.3516	0.95448	1.6809	1.2088	1.3128	2.0634	1.0707	1.6064	0.66065	0	1.978	1.4259	1.5679	2.0666	2.2896	1.5121	1.8699
IDNK	3.482	3.1424	3.3152	2.147	2.185	2.0985	2.0121	2.0972	1.6336	1.3728	2.2229	2.1402	2.1176	3.3597	1.9451	2.1786	1.9529	2.0666	1.4931	2.3694	2.5428
UBQLN1	6.0319	6.3249	6.3369	6.6502	6.4322	5.9857	6.5019	5.9385	6.3249	5.7189	6.397	5.8302	6.3605	6.3175	6.4018	6.4384	6.1119	6.0868	6.2367	6.4192	6.2307
KIF27	1.4306	3.6217	3.993	3.2954	3.1669	3.4078	3.1696	2.787	2.0759	2.8795	2.332	2.69	2.4973	0	2.9579	3.0899	3.3099	2.7183	3.295	3.3806	2.2081
C9orf64	4.1663	3.2779	3.5167	4.22	4.0068	3.1272	4.1778	2.787	2.715	1.3728	2.7802	2.3476	2.5697	3.897	3.6116	3.5899	2.5819	3.1655	2.9525	3.5035	2.9999
HNRNPK	6.5842	5.5036	6.0094	6.0316	6.1599	5.8977	6.0702	4.659	5.6856	5.1689	5.5946	5.435	5.3551	6.2312	5.8693	5.7929	5.6559	6.0868	5.3273	5.802	5.6014
RMI1	1.4306	2.1635	3.2028	2.4353	2.9356	2.9194	2.9809	0.7275	1.3128	1.3728	1.5029	0	1.294	2.4938	2.3244	2.705	2.5072	2.5319	2.0396	1.8575	1.7713
SLC28A3	0	1.4541	0	0	0	0	0.63373	2.787	6.5007	6.6376	3.3975	5.6461	5.823	3.897	5.1008	1.0521	1.1434	1.762	4.137	3.315	3.6258
ENSMMUG00000041893	3.2445	2.8257	2.6375	1.1536	1.7819	2.0985	1.8	1.2088	0.57992	0.8439	0	0.74987	0.52165	3.3597	0.77621	1.3412	2.0081	3.1655	2.211	0.69367	1.2917
AGTPBP1	2.9602	3.2779	3.851	2.8326	3.6471	3.8908	2.508	2.9179	2.3454	3.778	3.4468	2.8349	2.5697	2.4938	2.5163	3.495	3.9266	3.2883	3.0907	2.933	2.764
NAA35	4.1663	4.5619	4.3504	4.4475	4.1756	4.4813	4.304	4.5008	3.9631	4.4894	4.3007	3.9996	3.8727	4.2876	4.4074	4.791	4.6715	3.2883	4.4251	4.3539	4.0398
GOLM1	6.6587	4.6644	4.5474	6.7223	7.4876	6.5773	4.736	5.5313	5.0242	4.2085	5.9771	4.5117	5.533	5.4159	4.657	6.1638	6.0408	6.1203	4.0938	5.29	4.3441
ISCA1	6.5585	5.6853	6.2547	6.2235	6.3947	6.0887	6.5019	4.9919	6.4155	5.5332	6.3262	5.7594	6.4057	7.0805	6.4259	6.5057	5.6253	6.8153	5.0282	6.3084	5.9835
ZCCHC6	4.2965	5.8247	5.6721	5.389	5.0017	5.7101	5.2977	5.758	5.0021	5.5578	5.6693	5.4798	5.3551	4.2876	5.1844	5.2288	5.9343	5.0741	6.1914	5.4205	5.3934
DAPK1	6.7296	7.6073	7.2452	7.5117	7.3918	7.6153	6.9542	6.8873	5.3646	6.1325	6.8963	5.5016	6.2711	4.8478	5.8824	7.4159	7.7733	6.4314	6.7174	6.958	6.4537
CTSL	5.2593	3.8991	4.4022	5.3199	5.3698	4.3548	4.995	3.8192	4.2336	4.3835	4.8881	3.8711	4.5189	5.063	6.0372	6.6668	5.3379	6.3491	4.8709	6.1792	5.2904
CDK20	1.4306	2.8257	2.9477	2.6755	2.8495	2.3842	2.3609	2.643	2.447	3.6003	3.2934	2.8349	2.0685	2.4938	2.3244	2.7386	2.9354	2.0666	2.6289	2.9619	2.3514
ENSMMUG00000038581	2.1346	2.4195	2.6375	1.7863	2.1129	2.5083	2.197	1.5692	1.8958	2.5284	0.79382	1.8978	1.377	0	1.8767	2.1289	2.6872	3.2883	2.2896	2.0845	2.9999
SPIN1	3.482	2.8257	2.4533	2.8326	3.0169	2.9634	2.3609	2.0972	2.0329	2.0634	1.6785	1.8978	1.7943	0	2.1616	2.5995	3.0713	3.1655	2.5026	2.1859	2.0489
S1PR3	1.4306	1.852	1.3174	1.9779	0.28889	0.76842	1.6809	1.8572	3.0951	2.0634	3.8284	2.5289	3.236	0	2.2985	1.9109	1.4924	2.0666	2.1278	2.1361	2.4181
SECISBP2	4.5262	5.4757	5.8318	5.3111	5.0889	5.6304	5.4049	6.0569	5.5701	6.0656	5.7103	5.5653	5.5285	5.2502	5.5886	5.6852	5.9449	5.5861	5.9282	5.4665	5.6577
SEMA4D	3.2445	3.516	3.5167	4.2939	4.1756	3.8445	3.6534	3.038	2.3098	2.0634	3.1811	2.3476	2.941	4.2876	2.3994	3.4753	3.8071	2.5319	3.2167	3.1986	2.4818
GADD45G	5.5478	7.7772	7.7441	7.2091	5.9841	5.8574	7.4377	7.1022	7.9347	8.5944	7.9145	8.6722	8.0129	8.2825	8.1592	6.837	6.4897	7.4692	8.2991	7.6502	8.4592
SYK	3.8644	3.8991	2.9477	3.6732	3.4563	2.7284	3.2131	3.6785	3.1564	3.6003	3.3975	2.69	3.258	2.4938	2.8372	3.037	2.9913	3.4015	3.0907	3.0451	3.2027
AUH	3.2445	4.0583	3.3152	3.6167	3.1669	3.4702	3.2554	1.8572	1.69	1.759	2.4335	2.8349	1.7943	0	2.4235	3.5527	3.7434	2.7183	3.1759	3.2463	3.2027
ENSMMUG00000047234	6.3037	5.1965	5.8318	5.6921	5.8847	5.7101	5.894	5.3576	6.6819	5.1689	6.2928	6.4523	6.5082	6.9242	6.0643	5.9005	5.3646	5.7231	5.4943	5.9959	6.1979
NFIL3	4.4159	3.8991	4.6366	4.5263	3.9867	4.0422	5.0798	4.3232	5.0674	4.0788	5.0566	4.821	5.1638	4.8478	5.3096	4.7668	4.2582	5.0396	4.737	5.214	5.0903
ROR2	0	0	0.80414	0.79477	1.4717	0.55477	0	0.7275	0.57992	0	1.0707	0	0.78743	0	0.77621	1.3412	1.2389	1.762	0.60269	1.0569	0.78585
SPTLC1	5.1256	4.7602	4.4523	5.1904	5.4079	4.8878	5.4049	4.6959	5.0406	4.635	5.2637	4.3763	4.9702	3.897	5.2568	5.4574	4.9506	4.0828	4.6354	4.9871	4.8459
FBP2	0	1.4541	0.80414	0.57519	0.7356	1.9312	0.63373	2.0972	0.80087	0.8439	1.3029	1.2408	1.0118	2.4938	0.9854	1.654	2.1127	0.84579	1.6202	1.5121	0.97488
FBP1	7.3555	6.1939	6.6791	7.4685	7.7283	6.977	6.9053	7.0244	6.3114	5.8637	7.1852	6.1261	6.6358	6.6189	6.6292	7.9074	7.4395	7.5389	6.0741	7.3615	6.5865
C9orf3	2.1346	3.8124	3.6935	3.1032	3.1669	4.1792	2.9296	4.4584	2.447	4.5881	2.9945	3.0871	2.3407	2.4938	2.8727	3.2612	4.7053	3.1655	4.4424	3.2226	3.4773
FANCC	3.482	4.9749	3.7744	4.1219	3.8381	4.8647	3.521	5.8915	3.5407	4.7245	4.6134	3.9368	4.0851	3.897	3.7518	4.2895	5.2258	3.782	4.8581	3.8508	4.0398
PTCH1	4.2965	4.3319	3.851	3.9032	4.6533	4.9217	3.6847	3.038	2.941	3.1617	3.4468	2.5289	3.1203	2.4938	3.0693	4.6125	4.68	3.9402	3.8562	3.8964	3.2027
ENSMMUG00000011787	4.814	5.2634	5.2021	4.9487	4.8982	5.2318	4.4201	5.3344	4.4693	5.1037	4.246	4.821	4.699	0	4.6823	4.9135	5.1169	4.6391	5.231	4.7839	4.6096
SLC35D2	4.5262	2.6369	4.2408	4.6441	4.7516	3.53	4.7508	3.3478	4.445	3.0275	5.0245	4.1176	4.6245	5.2502	4.5731	5.0797	3.8681	4.5437	3.0907	4.9003	4.3946
ZNF367	0	1.4541	1.3174	2.2984	1.4717	1.5239	1.9099	1.8572	1.9886	1.3728	2.1048	1.2408	2.534	0	1.8413	1.0521	0.812	2.318	1.4931	1.9755	1.6655
HABP4	4.9782	2.4195	2.9477	4.1815	4.7983	3.8678	3.5887	3.1488	3.7002	3.2845	3.7907	3.3018	3.5178	3.897	3.6011	3.9747	3.4361	3.9402	2.8525	3.58	3.24
ENSMMUG00000005997	1.4306	1.852	0.80414	1.5653	1.7819	2.1754	1.6809	1.2088	1.1615	0.8439	0.79382	1.6064	1.1121	0	1.4289	1.7226	2.2565	2.318	1.4931	1.5121	1.4274
ENSMMUG00000008295	5.3817	3.4018	3.5167	4.6299	5.2738	3.9793	4.4748	3.038	4.1755	1.759	4.3007	3.8711	4.2593	3.897	4.3071	5.0666	4.1019	4.8128	3.4051	4.8394	4.4594
ZNF510	3.482	4.0583	2.8009	2.9285	3.0938	3.0476	3.0783	2.4829	1.9886	2.8795	2.2229	2.3476	2.0176	2.4938	2.19	3.1157	2.9913	3.0313	3.1759	2.6433	2.2815
ZNF782	3.2445	4.2682	3.4195	3.5579	3.5412	3.5874	3.2965	3.5226	2.38	3.1617	2.2229	3.3018	2.6045	2.4938	2.5386	2.8654	3.2191	2.0666	3.0001	2.5702	2.9101
CTSV	3.6858	1.852	0.80414	3.6452	4.4193	3.2026	0.86976	0	0.69462	1.759	0.79382	0.74987	0.90396	0	0.34169	0.69012	0	1.3755	0.60269	0.38813	0.56826
SH3YL1	6.3643	5.4472	5.9756	6.6502	6.9469	6.1895	6.3395	5.4252	6.0831	5.2911	6.2792	5.6263	6.1729	6.3175	6.0872	6.57	5.8536	5.9996	5.4263	6.3689	5.7511
ENSMMUG00000017097	0	0	0	0.57519	1.0762	1.1193	1.0726	0	0.69462	0	1.0707	0.74987	1.0118	0	0.77621	0.82112	1.0412	1.762	0.83011	0.54897	0
TMEM18	4.9782	3.1424	3.9237	4.3981	4.7277	3.8207	4.5275	3.2517	4.5246	3.3976	4.1891	3.9368	4.5097	3.3597	4.6873	5.0862	3.8976	4.5922	3.8036	4.7594	4.4274
PXDN	4.9782	4.6141	4.3504	4.2388	5.0889	5.5747	4.0635	3.6027	1.69	2.3145	2.4335	1.6064	1.9649	3.3597	2.9244	4.1717	5.0852	3.2883	3.8036	3.6167	3.4457
TSSC1	5.1256	4.2016	4.1827	4.9022	4.8098	4.1221	5.1598	3.1488	4.6997	3.3976	4.4043	3.9368	4.7544	4.2876	4.5181	4.4296	3.6937	4.4935	3.5073	4.2524	4.102
TRAPPC12	3.482	2.4195	3.2028	4.0597	3.9664	3.0476	3.8034	3.038	4.3431	2.8795	4.4043	4.1176	4.281	5.063	4.1276	4.0299	3.4953	3.782	2.745	3.8353	3.24
ADI1	6.9434	4.8928	6.1219	6.6432	6.6862	5.2761	6.5913	4.1739	5.8799	4.3275	5.8995	5.1327	5.8881	6.3175	5.9975	6.078	4.7136	5.9068	4.4931	5.939	5.474
ENSMMUG00000014475	3.6858	3.2779	3.7744	3.9032	4.1578	3.4702	3.5887	2.787	4.5091	3.3976	4.3273	3.73	4.4245	5.4159	4.2809	3.9606	3.5334	4.1491	3.2167	4.2524	3.9299
ENSMMUG00000011870	11.803	10.053	11.419	11.818	11.845	10.86	11.762	9.782	11.585	9.8491	11.474	11.289	11.61	11.969	11.556	11.489	10.317	11.581	10.095	11.553	11.247
SNORA73.5	0	2.1635	0	1.3043	0.28889	1.2671	1.0726	0.7275	0.99243	1.3728	1.5029	0.74987	1.7943	0	0.69915	0.82112	1.0412	0	0.83011	0.69367	0.56826
SOX11	2.6056	2.1635	1.9944	2.3685	1.3516	1.8396	2.5763	1.5692	1.6336	2.0634	1.3029	2.1402	2.0685	0	1.6902	2.4455	1.7732	1.762	2.6289	2.1361	1.8699
CMPK2	1.4306	0.90301	1.6952	1.1536	1.6857	0.95448	1.5512	2.4829	2.0759	0.8439	2.6172	2.69	2.4212	0	1.805	2.7714	2.4283	3.0313	1.3537	2.1859	2.2081
RSAD2	1.4306	2.1635	2.8009	3.1831	3.0169	1.9312	2.7637	3.6027	3.2153	3.8593	4.3535	4.0598	3.4808	0	3.4911	4.45	3.9828	3.4015	2.7998	4.1927	3.3465
RNF144A	5.1256	4.3319	3.6935	4.3642	4.4779	4.0827	4.5949	2.4829	3.7933	2.5284	3.4946	3.3018	3.7535	2.4938	4.0208	4.6571	4.164	4.3316	3.663	4.3539	3.8596
ENSMMUG00000048726	2.1346	2.8257	1.9944	2.6755	2.6601	2.0985	2.4363	0	0.80087	0	1.0707	0.74987	0.90396	0	1.1681	1.9685	1.8954	1.3755	1.9456	1.8575	1.7713
ID2	9.5286	8.771	9.3495	9.7779	9.9548	9.7321	8.653	6.6536	7.7306	7.8698	7.5153	7.9725	7.884	7.7421	7.8999	9.1141	8.5024	8.6906	8.4176	8.9311	8.6884
KIDINS220	6.1742	6.8451	6.3633	6.6919	6.7078	6.9444	6.4753	6.3859	6.3687	6.8513	6.3062	5.7411	6.3706	4.8478	6.306	6.6711	6.7868	5.9632	6.9194	6.2943	5.9945
MBOAT2	4.2965	2.8257	2.6375	3.4966	4.4342	4.2697	3.0783	4.0074	2.8695	0.8439	3.7121	2.5289	3.4994	2.4938	2.5822	4.1594	4.0102	3.5064	2.211	3.7217	2.9999
ASAP2	6.5056	6.3559	6.2118	6.3018	6.4688	6.7189	5.8806	5.758	4.6075	4.5881	5.5388	4.468	5.158	4.5947	5.2433	6.4256	6.7386	5.6099	5.9282	6.1164	5.3256
ITGB1BP1	5.8317	3.516	4.4523	5.2931	5.9326	4.9105	4.7801	3.8847	4.9101	3.6919	4.8148	4.2783	4.8735	4.8478	4.6923	5.6371	4.6715	5.4079	3.9799	5.3126	4.6655
CPSF3	5.7431	5.8024	5.8874	5.9596	5.9991	5.7609	6.0158	5.5914	5.5998	5.1367	5.808	5.7774	5.5688	5.063	5.6842	5.9833	5.9936	5.4348	5.731	5.5965	5.4262
